index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
2220967,6248,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,17:10:00,2019-05-09,17:09:00,Thu
2223588,6202,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,06:04:00,2019-05-09,06:03:00,Thu
2223762,6234,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,13:42:00,2019-05-09,13:41:00,Thu
2223965,6258,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,19:03:00,2019-05-09,18:59:00,Thu
2224307,6204,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,06:46:00,2019-05-09,06:45:00,Thu
2224978,6226,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,11:52:00,2019-05-09,11:51:00,Thu
2225019,6210,11.0,Watsessing Avenue,154.0,New York Penn Station,105.0,3.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,08:20:00,2019-05-09,08:23:00,Thu
2225128,6274,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,22:05:00,2019-05-09,22:04:00,Thu
2225345,6242,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0000000000000004,estimated,Montclair-Boonton,NJ Transit,2019-05-09,15:48:00,2019-05-09,15:50:00,Thu
2225386,6216,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-09,09:50:00,2019-05-09,09:49:00,Thu
2228302,6210,11.0,Watsessing Avenue,154.0,New York Penn Station,105.0,3.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,08:20:00,2019-05-10,08:23:00,Fri
2228376,6226,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,11:52:00,2019-05-10,11:51:00,Fri
2228465,6242,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,15:48:00,2019-05-10,15:47:00,Fri
2228713,6274,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-10,22:05:00,2019-05-10,22:04:00,Fri
